iter	Passed	Remaining
0	142	142045
1	143	71750
2	145	48335
3	146	36560
4	148	29462
5	149	24742
6	150	21400
7	152	18867
8	153	16923
9	155	15368
10	157	14118
11	158	13029
12	159	12111
13	161	11339
14	162	10672
15	163	10074
16	165	9544
17	166	9067
18	167	8635
19	168	8266
20	170	7940
21	171	7624
22	172	7333
23	174	7076
24	175	6835
25	176	6611
26	177	6399
27	178	6203
28	179	6024
29	181	5854
30	182	5700
31	183	5555
32	184	5420
33	186	5287
34	187	5160
35	188	5040
36	189	4930
37	190	4823
38	191	4723
39	192	4628
40	194	4538
41	195	4454
42	196	4371
43	197	4296
44	198	4222
45	200	4152
46	201	4082
47	202	4018
48	203	3954
49	204	3894
50	206	3835
51	207	3778
52	208	3722
53	209	3671
54	210	3623
55	212	3585
56	214	3551
57	216	3508
58	217	3467
59	218	3425
60	219	3386
61	221	3346
62	222	3309
63	223	3273
64	225	3238
65	226	3202
66	227	3171
67	229	3138
68	230	3106
69	231	3076
70	232	3046
71	234	3017
72	235	2990
73	236	2963
74	238	2936
75	239	2916
76	241	2890
77	242	2865
78	244	2845
79	245	2824
80	247	2803
81	248	2782
82	249	2753
83	250	2732
84	251	2711
85	253	2691
86	254	2671
87	256	2653
88	257	2634
89	259	2620
90	260	2603
91	261	2585
92	263	2567
93	264	2548
94	265	2531
95	266	2513
96	268	2498
97	269	2481
98	271	2466
99	272	2451
100	273	2437
101	275	2424
102	276	2409
103	278	2395
104	279	2381
105	280	2367
106	282	2354
107	283	2338
108	284	2325
109	285	2312
110	287	2302
111	289	2292
112	290	2281
113	291	2267
114	293	2255
115	294	2243
116	295	2229
117	296	2218
118	298	2207
119	299	2196
120	301	2186
121	302	2173
122	303	2164
123	305	2155
124	306	2145
125	307	2135
126	308	2122
127	310	2112
128	311	2102
129	312	2092
130	313	2082
131	315	2073
132	316	2062
133	317	2053
134	319	2044
135	320	2036
136	321	2027
137	323	2019
138	324	2010
139	326	2003
140	327	1995
141	328	1984
142	329	1977
143	331	1970
144	332	1962
145	334	1954
146	335	1948
147	337	1941
148	338	1933
149	339	1925
150	340	1917
151	342	1909
152	343	1902
153	345	1895
154	346	1887
155	347	1879
156	348	1873
157	350	1866
158	351	1860
159	353	1853
160	353	1843
161	354	1835
162	356	1828
163	357	1821
164	358	1815
165	360	1809
166	361	1802
167	362	1796
168	364	1790
169	365	1784
170	367	1779
171	368	1773
172	369	1767
173	371	1761
174	372	1754
175	373	1748
176	374	1742
177	376	1736
178	377	1731
179	378	1725
180	380	1720
181	381	1715
182	382	1709
183	384	1703
184	385	1697
185	386	1692
186	387	1686
187	388	1680
188	390	1674
189	391	1669
190	392	1664
191	394	1659
192	395	1655
193	397	1652
194	398	1646
195	400	1641
196	401	1635
197	402	1630
198	403	1625
199	404	1619
200	406	1615
201	407	1610
202	409	1606
203	410	1602
204	412	1597
205	413	1593
206	414	1587
207	415	1582
208	416	1577
209	417	1571
210	419	1566
211	420	1562
212	421	1557
213	422	1553
214	424	1548
215	425	1544
216	427	1540
217	428	1536
218	429	1531
219	430	1527
220	432	1522
221	433	1518
222	434	1514
223	435	1509
224	437	1506
225	438	1502
226	439	1497
227	441	1493
228	442	1490
229	444	1487
230	445	1483
231	447	1480
232	448	1476
233	449	1472
234	451	1468
235	452	1465
236	454	1463
237	456	1462
238	458	1459
239	459	1455
240	460	1451
241	462	1448
242	463	1444
243	465	1441
244	466	1437
245	467	1433
246	469	1430
247	470	1427
248	472	1426
249	474	1423
250	475	1419
251	476	1415
252	478	1412
253	479	1409
254	481	1406
255	482	1403
256	484	1400
257	485	1396
258	487	1394
259	489	1392
260	490	1389
261	492	1386
262	493	1382
263	494	1379
264	496	1375
265	497	1372
266	498	1369
267	500	1365
268	502	1364
269	503	1362
270	505	1358
271	506	1355
272	507	1352
273	508	1348
274	510	1345
275	511	1342
276	513	1339
277	514	1336
278	516	1333
279	517	1331
280	519	1329
281	520	1326
282	522	1322
283	523	1319
284	524	1316
285	526	1313
286	527	1310
287	529	1308
288	530	1305
289	532	1304
290	534	1301
291	535	1298
292	536	1295
293	538	1292
294	539	1289
295	541	1287
296	542	1284
297	544	1281
298	545	1278
299	546	1275
300	548	1273
301	549	1270
302	551	1267
303	552	1264
304	553	1262
305	555	1259
306	556	1256
307	557	1253
308	559	1250
309	560	1248
310	562	1246
311	564	1243
312	565	1241
313	566	1238
314	568	1235
315	569	1232
316	571	1230
317	572	1227
318	573	1225
319	575	1223
320	577	1222
321	581	1223
322	583	1222
323	585	1220
324	586	1218
325	588	1216
326	590	1214
327	592	1212
328	594	1212
329	596	1211
330	598	1209
331	600	1207
332	601	1205
333	603	1203
334	605	1202
335	607	1200
336	610	1201
337	612	1200
338	614	1199
339	616	1197
340	619	1196
341	621	1195
342	624	1195
343	626	1195
344	628	1193
345	631	1192
346	633	1191
347	635	1190
348	637	1188
349	640	1189
350	642	1187
351	644	1185
352	646	1184
353	647	1182
354	649	1180
355	651	1178
356	654	1178
357	656	1177
358	658	1175
359	660	1173
360	661	1171
361	663	1169
362	665	1168
363	667	1166
364	670	1165
365	673	1167
366	676	1165
367	677	1164
368	679	1162
369	681	1160
370	683	1158
371	687	1160
372	689	1159
373	691	1156
374	692	1154
375	694	1152
376	696	1150
377	697	1148
378	700	1147
379	703	1147
380	705	1146
381	707	1145
382	709	1143
383	711	1142
384	713	1140
385	718	1142
386	720	1140
387	721	1138
388	723	1136
389	725	1134
390	727	1132
391	729	1130
392	732	1130
393	735	1131
394	738	1130
395	740	1129
396	742	1128
397	747	1130
398	749	1128
399	751	1127
400	754	1127
401	756	1125
402	758	1123
403	760	1121
404	764	1122
405	767	1122
406	770	1122
407	772	1120
408	773	1118
409	775	1116
410	779	1117
411	781	1115
412	783	1113
413	785	1111
414	787	1110
415	789	1107
416	790	1105
417	793	1105
418	795	1103
419	796	1100
420	798	1098
421	800	1096
422	802	1094
423	803	1091
424	805	1089
425	808	1089
426	810	1086
427	811	1084
428	813	1082
429	814	1080
430	816	1078
431	818	1076
432	820	1074
433	823	1073
434	824	1071
435	826	1069
436	828	1067
437	830	1065
438	832	1063
439	833	1061
440	837	1061
441	839	1060
442	841	1058
443	843	1056
444	845	1054
445	846	1051
446	848	1049
447	850	1048
448	853	1046
449	854	1044
450	856	1042
451	857	1040
452	859	1037
453	861	1035
454	862	1033
455	864	1031
456	866	1029
457	868	1028
458	870	1026
459	872	1024
460	874	1022
461	875	1019
462	877	1017
463	878	1015
464	880	1013
465	882	1011
466	884	1009
467	886	1007
468	887	1005
469	889	1003
470	891	1000
471	893	999
472	895	997
473	897	996
474	899	993
475	900	991
476	902	989
477	904	987
478	906	985
479	908	983
480	910	982
481	912	981
482	914	979
483	916	977
484	918	975
485	920	973
486	921	970
487	924	969
488	926	968
489	928	966
490	930	965
491	932	963
492	934	961
493	936	959
494	989	1009
495	994	1010
496	997	1009
497	1000	1008
498	1002	1006
499	1004	1004
500	1006	1002
501	1013	1005
502	1016	1003
